
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.434e-4,-0.089,-8.868,0.089,8.868,0,0,0,0,0,0,28.591,-80.615,9.792,92.246,0,0,0,2.493e4,8459,12.361,0.087,NaN,186.1,NaN,0.007,4.317e5,23.041,-4.588e-6,0.51,-7.654e-5,0.389,0.008,0.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.135e-5,15.7,190,90.012,0,2.251,15,1013,340.389,0.01,0.016
0.02,-3.509e-4,-0.07,-7.019,0.07,7.019,0,0,0,0,0,0,28.591,-80.615,9.792,91.788,0,0,0,2.493e4,8459,12.361,0.087,NaN,186.1,NaN,0.007,4.326e5,69.124,-2.28e-6,0.51,-3.788e-5,0.389,0.008,0.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.987e-6,15.7,190,90.012,0,2.256,15,1013,340.389,0.01,0.019
0.03,8.012e-4,0.16,16.028,0.16,16.028,0,0,0,0,0,0,28.591,-80.615,9.792,85.944,0,0,0,2.492e4,8455,12.36,0.087,NaN,186.1,NaN,0.007,4.345e5,643.472,2.641e-5,0.51,4.349e-4,0.388,0.008,0.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.052e-5,15.7,190,90.012,0,2.261,15,1013,340.389,0.01,0.02
0.04,0.01,1.581,142.17,1.581,142.17,0,0,0,0,0,0,28.591,-80.615,9.792,55.119,0,0,0,2.491e4,8440,12.355,0.087,NaN,186,NaN,0.008,5.298e5,3784.747,0.016,0.493,0.18,0.372,0.008,0.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.025e-4,15.7,190,90.012,0,2.267,15,1013,340.389,0.01,0.022
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.035,3.504,192.393,3.504,192.393,0,0,0,0,0,0,28.591,-80.615,9.792,32.945,0,0,0,2.488e4,8418,12.349,0.087,NaN,186,NaN,0.012,8.005e5,5031.289,0.098,0.463,0.475,0.342,0.007,0.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.487e-4,15.7,190,90.012,0,2.272,15,1013,340.389,0.01,0.024
0.06,0.079,5.398,189.46,5.398,189.46,0,0,0,0,0,0,28.591,-80.615,9.792,22.575,0,0,0,2.486e4,8397,12.342,0.087,NaN,185.9,NaN,0.017,1.121e6,4954.165,0.224,0.44,0.554,0.32,0.007,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.912e-4,15.7,190,90.012,0,2.247,14.999,1013,340.389,0.01,0.027
0.07,0.143,7.307,190.916,7.307,190.916,0,0,0,0,0,0,28.591,-80.615,9.792,16.902,0,0,0,2.484e4,8375,12.336,0.087,NaN,185.9,NaN,0.022,1.464e6,4986.247,0.38,0.424,0.551,0.303,0.007,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.355e-4,15.7,190,90.012,0,2.221,14.999,1013,340.388,0.01,0.029
0.08,0.226,9.239,193.299,9.239,193.299,0,0,0,0,0,0,28.591,-80.615,9.792,13.35,0,0,0,2.482e4,8353,12.329,0.087,NaN,185.9,NaN,0.028,1.82e6,5041.1,0.555,0.412,0.521,0.291,0.007,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.7,190,90.012,0,2.196,14.999,1013,340.388,0.01,0.032
0.09,0.328,11.21,197.255,11.21,197.255,0,0,0,0,0,0,28.591,-80.615,9.792,10.943,0,0,0,2.48e4,8331,12.322,0.087,NaN,185.8,NaN,0.034,2.189e6,5134.836,0.752,0.402,0.488,0.281,0.007,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.7,190,90.012,0,2.17,14.998,1013,340.388,0.01,0.035
